ŽžŠÔ,motorSpeed,Šp‘¬“x
21664,2,0
21714,3,-4.192373798
21733,2,-7.701882463
21756,5,-4.192373798
21780,6,-16.57181251
21802,2,-21.78421327
21822,6,-4.192373798
21846,7,-21.78421327
21867,6,-27.45124618
21916,3,-21.78421327
21935,0,-7.701882463
21961,-7,0
21980,2,27.45124618
22005,6,-4.192373798
22036,2,-21.78421327
22076,3,-4.192373798
22101,0,-7.701882463
22122,0,0
22136,0,0
22148,3,0
22170,0,-7.701882463
22193,0,0
22204,2,0
22229,3,-4.192373798
22251,3,-7.701882463
22265,3,-7.701882463
22278,3,-7.701882463
22295,3,-7.701882463
22312,3,-7.701882463
22325,0,-7.701882463
22351,-6,0
22371,-7,21.78421327
22391,-10,27.45124618
22415,-9,46.872164
22436,-9,40.02015522
22450,-11,40.02015522
22473,-9,54.07593437
22495,-9,40.02015522
22509,-9,40.02015522
22530,-1,40.02015522
22551,12,1.482227971
22574,15,-61.6150597
22600,12,-86.10966371
22622,16,-61.6150597
22642,17,-94.86259015
22666,23,-103.8935023
22687,25,-163.4958595
22720,13,-185.2784964
22749,-33,-69.47523637
22785,-23,280.9867974
22815,9,163.4958595
22848,64,-40.02015522
22869,46,-758.9007212
22923,71,-462.4361237
22966,42,-886.7527166
23006,-152,-403.4492757
23065,-102,2777.668326
23131,-90,1526.916409
23173,30,1265.548428
23229,130,-243.5549085
23271,292,-2196.999879
23313,160,-7395.87022
23355,61,-2999.818496
23395,-41,-706.1708024
23453,-226,389.1264837
23494,-135,5035.90656
23549,-31,2324.96092
23590,32,255.8335783
23635,42,-268.3119231
23677,93,-403.4492757
23717,212,-1329.350268
23769,-44,-4575.291784
23816,-161,432.607475
23858,-271,3027.985692
23898,20,6612.549573
23955,-13,-132.5745001
24011,114,69.47523637
24070,101,-1804.1485
24111,-51,-1504.516882
24170,-58,539.8464735
24211,-19,654.7220913
24252,73,122.7567568
24295,64,-924.4837775
24335,36,-758.9007212
24360,10,-320.1612418
24378,13,-46.872164
24421,20,-69.47523637
24461,19,-132.5745001
24487,43,-122.7567568
24522,63,-417.9436084
24547,50,-741.183647
24566,5,-524.0467248
24583,34,-16.57181251
24605,47,-293.8551999
24625,26,-477.5972214
24642,3,-196.5056431
24664,13,-7.701882463
24684,13,-69.47523637
24697,6,-69.47523637
24736,-6,-21.78421327
24774,-3,21.78421327
24813,13,7.701882463
24841,20,-69.47523637
24882,2,-132.5745001
24910,40,-4.192373798
24949,17,-374.977312
24966,-1,-103.8935023
24995,-13,1.482227971
25015,-10,69.47523637
25035,-16,46.872164
25050,0,94.86259015
25070,37,0
25085,43,-333.5935083
25105,6,-417.9436084
25130,0,-21.78421327
25146,17,0
25163,9,-103.8935023
25190,-9,-40.02015522
25204,-37,40.02015522
25223,-24,333.5935083
25250,-9,174.2737062
25265,-3,40.02015522
25284,-9,7.701882463
25310,-20,40.02015522
25325,26,132.5745001
25353,30,-196.5056431
25373,-37,-243.5549085
25402,16,333.5935083
25430,12,-94.86259015
25447,-82,-61.6150597
25469,-57,1100.615902
25490,-27,637.8628193
25505,-54,207.9508265
25524,-104,588.1737583
25542,-87,1572.045144
25558,-27,1202.801285
25577,-26,207.9508265
25593,36,196.5056431
25616,184,-320.1612418
25635,201,-3699.488989
25651,162,-4223.855873
25671,113,-3056.240499
25688,81,-1780.461839
25706,5,-1080.544191
25730,-27,-16.57181251
25751,-9,207.9508265
25767,-132,40.02015522
25790,-240,2247.894379
25805,-162,5511.018477
25823,-85,3056.240499
25850,-24,1161.564667
25865,-9,174.2737062
25884,0,40.02015522
25897,44,0
25916,113,-432.607475
25934,172,-1780.461839
25952,152,-3343.548867
25972,141,-2777.668326
25988,147,-2481.667959
26007,70,-2641.745685
26030,-6,-868.0846255
26052,-58,21.78421327
26067,-28,654.7220913
26090,-82,219.6099695
26107,-269,1100.615902
26125,-263,6539.483142
26150,-190,6321.914636
26166,-176,3881.909497
26185,-139,3460.8598
26210,26,2429.054197
26228,0,-196.5056431
26248,44,0
26270,94,-432.607475
26285,94,-1350.848936
26300,231,-1350.848936
26315,341,-5203.948313
26345,239,-9333.543869
26363,174,-5476.610516
26379,133,-3402.035781
26399,83,-2273.486952
26415,16,-1120.810377
26434,-16,-94.86259015
26460,-50,94.86259015
26476,-135,524.0467248
26504,-240,2324.96092
26525,-233,5511.018477
26555,-220,5271.678132
26596,-242,4836.698608
26621,33,5580.049526
26650,32,-280.9867974
26667,34,-268.3119231
26682,79,-293.8551999
26723,83,-1040.7721
26748,268,-1120.810377
26783,93,-6503.051534
26810,-128,-1329.350268
26866,-156,2146.495385
26904,-27,2888.031342
26943,37,207.9508265
26984,-24,-333.5935083
27007,12,174.2737062
27028,-75,-61.6150597
27046,3,962.7353079
27082,0,-7.701882463
27097,26,0
27112,23,-196.5056431
27140,27,-163.4958595
27155,30,-207.9508265
27170,-14,-243.5549085
27201,-10,77.64384932
27217,-1,46.872164
27231,25,1.482227971
27248,37,-185.2784964
27277,66,-333.5935083
27312,73,-794.7506795
27350,73,-924.4837775
27371,64,-924.4837775
27396,64,-758.9007212
27430,64,-758.9007212
27451,63,-758.9007212
27482,42,-741.183647
27497,29,-403.4492757
27513,26,-231.4792153
27531,22,-196.5056431
27550,37,-152.9498396
27565,29,-333.5935083
27610,17,-231.4792153
27636,16,-103.8935023
27673,19,-94.86259015
27710,30,-122.7567568
27737,26,-243.5549085
27773,12,-196.5056431
27797,-1,-61.6150597
27836,-1,1.482227971
27851,7,1.482227971
27868,10,-27.45124618
27884,10,-46.872164
27894,7,-46.872164
27913,0,-27.45124618
27930,0,0
27939,0,0
27948,2,0
27970,2,-4.192373798
27981,0,-4.192373798
27996,6,0
28010,7,-21.78421327
28030,5,-27.45124618
28044,5,-16.57181251
28058,5,-16.57181251
28075,7,-16.57181251
28096,10,-27.45124618
28131,7,-46.872164
28155,3,-27.45124618
28183,9,-7.701882463
28210,12,-40.02015522
28223,10,-61.6150597
28239,9,-46.872164
28252,7,-40.02015522
28270,7,-27.45124618
28281,9,-27.45124618
28297,13,-40.02015522
28311,16,-69.47523637
28330,16,-94.86259015
28340,5,-94.86259015
28355,-7,-16.57181251
28371,-4,27.45124618
28390,0,11.85782377
28401,7,0
28416,7,-27.45124618
28427,-3,-27.45124618
28450,-11,7.701882463
28464,-10,54.07593437
28480,-3,46.872164
28493,-3,7.701882463
28510,0,7.701882463
28523,7,0
28538,9,-27.45124618
28551,15,-40.02015522
28570,16,-86.10966371
28583,36,-94.86259015
28599,32,-320.1612418
28612,16,-268.3119231
28630,6,-94.86259015
28644,6,-21.78421327
28658,-14,-21.78421327
28673,-90,77.64384932
28691,-118,1265.548428
28705,-77,1899.931816
28722,-44,1001.50032
28734,-20,432.607475
28752,-17,132.5745001
28766,-10,103.8935023
28782,64,46.872164
28798,164,-758.9007212
28816,160,-3113.01187
28833,71,-2999.818496
28852,-10,-886.7527166
28906,-48,46.872164
28936,-109,492.9204776
28959,-200,1686.765662
28973,-65,4192.373798
28986,-23,776.7567564
29002,7,163.4958595
29023,15,-27.45124618
29037,26,-86.10966371
29053,104,-196.5056431
29068,226,-1572.045144
29086,252,-5035.90656
29100,178,-5929.469176
29115,86,-3520.019003
29139,-1,-1182.123039
29156,-6,1.482227971
29171,-11,21.78421327
29185,-24,54.07593437
29204,-128,174.2737062
29218,-252,2146.495385
29235,-236,5929.469176
29248,-129,5373.818685
29267,-119,2171.698693
29284,-57,1924.134589
29297,91,637.8628193
29319,140,-1286.699384
29334,103,-2455.314101
29350,147,-1549.426008
29363,192,-2641.745685
29381,241,-3943.363821
29394,231,-5545.498197
29411,93,-5203.948313
29424,-26,-1329.350268
29445,-23,196.5056431
29463,-13,163.4958595
29477,-19,69.47523637
29500,-27,122.7567568
29513,-20,207.9508265
29531,-16,132.5745001
29544,0,94.86259015
29560,-7,0
29573,-3,27.45124618
29589,6,7.701882463
29605,22,-21.78421327
29622,16,-152.9498396
29636,5,-94.86259015
29652,15,-16.57181251
29666,15,-86.10966371
29681,10,-86.10966371
29694,7,-46.872164
29710,5,-27.45124618
29723,3,-16.57181251
29748,2,-7.701882463
29773,6,-4.192373798
29799,7,-21.78421327
29825,12,-27.45124618
29859,12,-61.6150597
29876,5,-61.6150597
29930,0,-16.57181251
29956,3,0
29975,3,-7.701882463
29998,7,-7.701882463
30013,7,-27.45124618
30023,7,-27.45124618
30035,7,-27.45124618
30050,9,-27.45124618
30066,9,-40.02015522
30076,6,-40.02015522
30090,6,-21.78421327
30110,5,-21.78421327
30125,3,-16.57181251
30138,2,-7.701882463
30152,3,-4.192373798
30170,3,-7.701882463
30182,7,-7.701882463
30195,9,-27.45124618
30210,9,-40.02015522
30235,9,-40.02015522
30259,7,-40.02015522
30290,5,-27.45124618
30315,0,-16.57181251
30335,-3,0
30353,5,7.701882463
30371,9,-16.57181251
30384,10,-40.02015522
