,motorspeed,Šp‘¬“x,,,,,,motorSpeed,,,,,,,Šp‘¬“x
11401,-1,0,,,29017,,-15048.27482,440,,,,,,11401,0
11438,-4,1.630450804,,,29036,,-15048.27482,329,,,,,,11438,1.630450804
11458,-4,13.04360643,,,39847,,-15048.27482,345,,,,,,11458,13.04360643
11472,-4,13.04360643,,,43386,,-15048.27482,440,,,,,,11472,13.04360643
11485,-4,13.04360643,,,43393,,-15048.27482,440,,,,,,11485,13.04360643
11505,-1,13.04360643,,,43399,,-15048.27482,440,,,,,,11505,13.04360643
11528,-1,1.630450804,,,43405,,-15048.27482,440,,,,,,11528,1.630450804
11542,-1,1.630450804,,,43412,,-15048.27482,440,,,,,,11542,1.630450804
11560,-1,1.630450804,,,43419,,-15048.27482,440,,,,,,11560,1.630450804
11589,-1,1.630450804,,,43425,,-15048.27482,440,,,,,,11589,1.630450804
11617,-1,1.630450804,,,43449,,-15048.27482,440,,,,,,11617,1.630450804
11629,-1,1.630450804,,,43460,,-15048.27482,306,,,,,,11629,1.630450804
11643,-1,1.630450804,,,50947,,-15048.27482,440,,,,,,11643,1.630450804
11657,0,1.630450804,,,50953,,-15048.27482,395,,,,,,11657,1.630450804
11680,-1,0,,,50939,,-13387.49473,440,,,,,,11680,0
11720,0,1.630450804,,,43369,,-13338.18539,440,,,,,,11720,1.630450804
11765,0,0,,,50925,,-13043.60643,407,,,,,,11765,0
11780,0,0,,,39832,,-12994.72349,440,,,,,,11780,0
11801,1,0,,,28558,,-12897.14134,333,,,,,,11801,0
11840,1,-1.630450804,,,28183,,-12799.80468,346,,,,,,11840,-1.630450804
11864,1,-1.630450804,,,50961,,-12799.80468,346,,,,,,11864,-1.630450804
11900,-1,-1.630450804,,,29007,,-12173.14355,440,,,,,,11900,-1.630450804
11932,-2,1.630450804,,,28156,,-11698.28261,270,,,,,,11932,1.630450804
11957,-2,4.611611278,,,46846,,-11604.06854,304,,,,,,11957,4.611611278
11970,-2,4.611611278,,,46839,,-11557.05682,370,,,,,,11970,4.611611278
11983,-2,4.611611278,,,28545,,-11416.40395,397,,,,,,11983,4.611611278
11997,-2,4.611611278,,,46832,,-11229.76207,369,,,,,,11997,4.611611278
12024,-1,4.611611278,,,51314,,-10905.61668,331,,,,,,12024,4.611611278
