,motorSpeed
-1714.739283,-112
-1740.412464,-98
-1740.412464,-88
-1740.412464,-65
-1740.412464,-54
-1740.412464,-34
-1740.412464,-21
-1740.412464,-23
-1740.412464,-42
-1740.412464,-37
-1740.412464,-35
-1740.412464,-51
-1740.412464,-61
-1740.412464,-64
-1740.412464,-64
-1740.412464,-69
-1740.412464,-104
-1539.29609,-139
-2489.278225,-172
-3542.978751,-200
-4548.881363,-213
-5049.203899,-257
-6892.18755,86
-6892.18755,-40
-6892.18755,-138
-2459.674068,80
-2459.674068,22
-2459.674068,29
-2459.674068,-34
-2459.674068,6
-2459.674068,-38
-2459.674068,0
-2459.674068,-58
-2459.674068,-27
-2459.674068,21
-2459.674068,-42
-2459.674068,22
-2459.674068,-18
-2459.674068,-18
-2459.674068,8
-2459.674068,-51
-2459.674068,19
-2459.674068,-18
-2459.674068,-4
-2459.674068,-11
-2459.674068,-14
-2459.674068,19
-2459.674068,-45
-2459.674068,16
-2459.674068,-30
-2459.674068,-41
-2459.674068,16
-2459.674068,-44
-2459.674068,-14
-2459.674068,-20
-2459.674068,-10
-2459.674068,-44
-2459.674068,-14
-2459.674068,3
-2459.674068,9
-2459.674068,-18
-2459.674068,-20
-2459.674068,3
-2459.674068,0
-2459.674068,-54
-2459.674068,-37
-2459.674068,-30
-2459.674068,3
-2459.674068,5
-2459.674068,-23
-2459.674068,-48
-2459.674068,-20
-2459.674068,-15
-2459.674068,-31
-2459.674068,-30
-2459.674068,-45
-2459.674068,-52
-2459.674068,38
-2459.674068,-4
-2459.674068,-50
-2459.674068,-42
-2459.674068,8
-2459.674068,12
-2459.674068,-30
-2459.674068,-44
-2459.674068,9
-2459.674068,0
-2459.674068,-31
-2459.674068,0
-2459.674068,-32
-2459.674068,1
-2459.674068,-17
-2459.674068,-11
-2459.674068,-13
-2459.674068,-14
-2459.674068,-3
-2459.674068,3
-2459.674068,-8
-2459.674068,-7
-2459.674068,-17
-2459.674068,-20
-2459.674068,-8
-2459.674068,-27
-2459.674068,-1
-2459.674068,12
-2459.674068,-24
-2459.674068,-68
-2459.674068,-27
-2459.674068,-34
-2459.674068,5
-2459.674068,43
-2459.674068,84
-2459.674068,96
-2459.674068,119
2749.040906,127
3061.982126,144
3770.56587,157
4351.165523,156
4305.338871,156
4305.338871,144
3770.56587,150
4034.438485,148
3945.695299,138
3513.820157,120
2787.425134,96
2787.425134,100
2787.425134,92
2787.425134,84
2787.425134,52
2787.425134,32
2787.425134,1
2787.425134,-10
2787.425134,-38
2787.425134,-57
2787.425134,-48
2787.425134,-65
